title;year;duration;genre;rating;votes
Cobra Kai;(2018– );30 min;Action, Comedy, Drama;85;177031
The Crown;(2016– );58 min;Biography, Drama, History;87;199885
Better Call Saul;(2015–2022);46 min;Crime, Drama;89;501384
Devil in Ohio;(2022);356 min;Drama, Horror, Mystery;59;9773
Cyberpunk: Edgerunners;(2022– );24 min;Animation, Action, Adventure;86;15413
The Sandman;(2022– );45 min;Drama, Fantasy, Horror;78;116358
Rick and Morty;(2013– );23 min;Animation, Adventure, Comedy;92;502160
Breaking Bad;(2008–2013);49 min;Crime, Drama, Thriller;95;1831340
The Imperfects;(2022– );45 min;Action, Adventure, Drama;63;3123
Blonde;(2022);166 min;Biography, Drama, Mystery;62;935
Stranger Things;(2016– );51 min;Drama, Fantasy, Horror;87;1149889
End of the Road;(II) (2022);89 min;Action, Crime, Drama;47;5122
The Walking Dead;(2010–2022);44 min;Drama, Horror, Thriller;81;970060
Glass Onion: A Knives Out Mystery;(2022);139 min;Crime, Drama, Mystery;81;547
Do Revenge;(2022);118 min;Comedy;64;13457
I Came By;(2022);110 min;Thriller;61;16230
No Limit;(2022);118 min;Drama, Romance, Sport;58;1695
1899;(2022– );60 min;Drama, History, Horror;96;853
Peaky Blinders;(2013–2022);60 min;Crime, Drama;88;531058
Fate: The Winx Saga;(2021– );;Action, Adventure, Drama;69;43179
The Lord of the Rings: The Fellowship of the Ring;(2001);178 min;Action, Adventure, Drama;88;1844055
Grey's Anatomy;(2005– );41 min;Drama, Romance;76;303617
Supernatural;(2005–2020);44 min;Drama, Fantasy, Horror;84;439597
American Horror Story;(2011– );60 min;Drama, Horror, Sci-Fi;80;312970
The Accidental Narco;(2022– );50 min;Action, Biography, Crime;74;2056
NCIS;(2003– );60 min;Action, Crime, Drama;78;145895
Friends;(1994–2004);22 min;Comedy, Romance;89;979424
Shameless;(2011–2021);46 min;Comedy, Drama;86;239541
Modern Family;(2009–2020);22 min;Comedy, Drama, Romance;85;423963
Ozark;(2017–2022);60 min;Crime, Drama, Thriller;85;309552
Echoes;(2022);326 min;Drama, Mystery, Thriller;59;9380
The Gray Man;(2022);122 min;Action, Thriller;65;172136
Me Time;(2022);101 min;Comedy;50;26092
Suits;(2011–2019);44 min;Comedy, Drama;85;405863
Vikings;(2013–2020);44 min;Action, Adventure, Drama;85;524630
The Witcher;(2019– );60 min;Action, Adventure, Drama;82;481837
The Blacklist;(2013– );43 min;Crime, Drama, Mystery;80;245591
Seinfeld;(1989–1998);22 min;Comedy;89;314089
Lucifer;(2016–2021);42 min;Crime, Drama, Fantasy;81;318928
The Umbrella Academy;(2019–2023);60 min;Action, Adventure, Comedy;79;243344
The Last Kingdom;(2015–2022);60 min;Action, Drama, History;85;136936
Partner Track;(2022– );60 min;Drama;68;3840
Love in the Villa;(2022);114 min;Comedy, Romance;53;7048
Black Mirror;(2011–2019);60 min;Drama, Mystery, Sci-Fi;88;535782
Brooklyn Nine-Nine;(2013–2021);22 min;Comedy, Crime;84;309004
Squid Game;(2021– );55 min;Action, Drama, Mystery;80;435160
Gilmore Girls;(2000–2007);44 min;Comedy, Drama;82;124087
Outlander;(2014– );60 min;Drama, Fantasy, Romance;84;158268
Ófærð;(2015– );60 min;Crime, Drama, Mystery;80;21641
Never Have I Ever;(2020–2023);30 min;Comedy, Drama;79;56216
Attack on Titan;(2013–2023);24 min;Animation, Action, Adventure;90;363297
Manifest;(2018– );43 min;Drama, Mystery, Sci-Fi;71;59167
Locke & Key;(2020–2022);48 min;Drama, Fantasy, Horror;73;84847
Day Shift;(2022);113 min;Action, Comedy, Fantasy;61;62931
Dark;(2017–2020);60 min;Crime, Drama, Mystery;87;371981
Guillermo del Toro's Pinocchio;(II) (2022);114 min;Animation, Drama, Family;;
Sex Education;(2019– );45 min;Comedy, Drama;84;273671
The Lord of the Rings: The Return of the King;(2003);201 min;Action, Adventure, Drama;90;1819157
The Vampire Diaries;(2009–2017);43 min;Drama, Fantasy, Horror;77;318383
Virgin River;(2019– );44 min;Drama, Romance;74;41276
Family Guy;(1999– );22 min;Animation, Comedy;82;334757
Fargo;(2014– );53 min;Crime, Drama, Thriller;89;369918
Animal Kingdom;(2016–2022);60 min;Crime, Drama;82;37944
Diario de un Gigoló;(2022);50 min;Drama;63;538
How I Met Your Mother;(2005–2014);22 min;Comedy, Romance;83;676121
The School for Good and Evil;(2022);147 min;Action, Drama, Fantasy;;
Heartbreak High;(2022– );50 min;Drama, Romance;76;1502
Wednesday;(2022– );;Comedy, Family, Fantasy;;
Community;(2009–2015);22 min;Comedy;85;261138
Daredevil;(2015–2018);54 min;Action, Crime, Drama;86;434141
Blue Bloods;(2010– );43 min;Crime, Drama, Mystery;77;40037
Bee and PuppyCat;(2013– );7 min;Animation, Short, Action;82;2385
Loving Adults;(2022);104 min;Crime, Drama, Thriller;65;5861
Schitt's Creek;(2015–2020);22 min;Comedy;85;118638
Sing 2;(2021);110 min;Animation, Adventure, Comedy;74;65399
RRR;(2022);187 min;Action, Drama;80;107203
Arcane;(2021– );41 min;Animation, Action, Adventure;90;196697
The Lørenskog Disappearance;(2021);;Documentary, Crime;61;668
The Lord of the Rings: The Two Towers;(2002);179 min;Action, Adventure, Drama;88;1642708
All Quiet on the Western Front;(2022);147 min;Action, Drama, War;83;199
Mr. Harrigan's Phone;(2022);104 min;Horror;;
American Psycho;(2000);102 min;Crime, Drama, Horror;76;598117
The Hobbit: An Unexpected Journey;(2012);169 min;Adventure, Fantasy;78;820021
Kleo;(2022– );44 min;Action, Crime, Drama;75;5517
Riverdale;(2017– );45 min;Crime, Drama, Mystery;66;143861
Sons of Anarchy;(2008–2014);45 min;Crime, Drama, Thriller;86;294616
Mad Men;(2007–2015);47 min;Drama;87;237030
The Flash;(2014–2023);43 min;Action, Adventure, Drama;76;344187
Archer;(2009– );22 min;Animation, Action, Comedy;86;153880
Dahmer - Monster: The Jeffrey Dahmer Story;(2022);534 min;Biography, Crime, Drama;85;5580
Mr. Robot;(2015–2019);49 min;Crime, Drama, Thriller;86;383470
That '70s Show;(1998–2006);22 min;Comedy, Drama, Romance;81;169768
You;(2018– );45 min;Crime, Drama, Romance;77;234218
Look Both Ways;(2022);110 min;Comedy, Drama, Romance;63;14313
365 Days;(2020);114 min;Drama, Romance;33;89071
I Used to Be Famous;(2022);104 min;Comedy, Drama, Music;66;2633
Titanic;(1997);194 min;Drama, Romance;79;1158746
Bridgerton;(2020– );60 min;Drama, History, Romance;73;133119
Sherlock;(2010–2017);88 min;Crime, Drama, Mystery;91;913816
Dexter;(2006–2013);53 min;Crime, Drama, Mystery;87;720792
New Girl;(2011–2018);22 min;Comedy, Romance;77;221781
The Expanse;(2015–2022);60 min;Drama, Mystery, Sci-Fi;85;151611
Purple Hearts;(2022);122 min;Drama, Music, Romance;67;32797
The Gentlemen;(2019);113 min;Action, Comedy, Crime;78;331508
The Good Doctor;(2017– );41 min;Drama;81;92641
Downton Abbey;(2010–2015);58 min;Drama, Romance;87;204875
Extraordinary Attorney Woo;(2022);75 min;Drama;89;9538
Smallville;(2001–2017);60 min;Action, Adventure, Drama;75;127295
Star Trek: The Next Generation;(1987–1994);44 min;Action, Adventure, Sci-Fi;87;119655
BoJack Horseman;(2014–2020);25 min;Animation, Comedy, Drama;88;152649
Love, Death & Robots;(2019– );15 min;Animation, Short, Action;84;165153
Money Heist;(2017–2021);70 min;Action, Crime, Drama;82;469640
Orange Is the New Black;(2013–2019);59 min;Comedy, Crime, Drama;81;300354
Jurassic Park;(1993);127 min;Action, Adventure, Sci-Fi;82;978402
Prison Break;(2005–2017);44 min;Action, Crime, Drama;83;529304
Billions;(2016– );60 min;Drama;84;93451
Once Upon a Time;(2011–2018);60 min;Adventure, Fantasy, Romance;77;223549
Titans;(I) (2018– );45 min;Action, Adventure, Crime;76;98315
The 100;(2014–2020);43 min;Drama, Mystery, Sci-Fi;76;248827
Jaws;(1975);124 min;Adventure, Thriller;81;600404
The Catholic School;(2021);106 min;Drama;58;1536
South Park;(1997– );22 min;Animation, Comedy;87;366394
Spartacus;(2010–2013);55 min;Action, Adventure, Biography;85;241105
Clueless;(1995);97 min;Comedy, Romance;69;216233
Chesapeake Shores;(2016–2022);42 min;Drama, Family;75;7676
Demon Slayer: Kimetsu no Yaiba;(2019– );24 min;Animation, Action, Adventure;87;97968
The Queen's Gambit;(2020);60 min;Drama;86;432644
Pretty Little Liars;(2010–2017);44 min;Drama, Mystery, Romance;74;166548
Mindhunter;(2017–2019);60 min;Crime, Drama, Mystery;86;281506
Murder, She Wrote;(1984–1996);50 min;Crime, Drama, Mystery;71;24323
From;(2022– );52 min;Drama, Horror, Mystery;76;18826
Spiderhead;(2022);106 min;Action, Crime, Drama;54;52102
CSI: Crime Scene Investigation;(2000–2015);60 min;Crime, Drama, Mystery;77;83833
Evil;(2019– );42 min;Crime, Drama, Horror;77;26248
The Lincoln Lawyer;(2022– );60 min;Crime, Drama, Mystery;77;35356
Arrested Development;(2003–2019);22 min;Comedy;87;302834
Heartland;(II) (2007– );45 min;Drama, Family;84;16702
Mo;(2022– );30 min;Comedy, Drama;76;5261
Inventing Anna;(2022);65 min;Drama;68;65185
It;(I) (2017);135 min;Horror;73;537240
Narcos;(2015–2017);49 min;Biography, Crime, Drama;88;416307
The Sinner;(2017–2021);45 min;Crime, Drama, Mystery;79;120241
Homeland;(2011–2020);55 min;Crime, Drama, Mystery;83;339482
The Haunting of Hill House;(2018);572 min;Drama, Horror, Mystery;86;237198
Doc Martin;(2004–2022);46 min;Comedy, Drama, Romance;84;16147
Hawaii Five-0;(2010–2020);42 min;Action, Crime, Drama;74;73530
Star Trek: The Original Series;(1966–1969);50 min;Action, Adventure, Sci-Fi;84;83805
The Next 365 Days;(2022);112 min;Drama, Romance;27;5495
Don't Look Up;(2021);138 min;Comedy, Drama, Sci-Fi;72;525424
Murdoch Mysteries;(2008– );48 min;Crime, Drama, Mystery;82;14381
The Good Wife;(2009–2016);43 min;Crime, Drama, Mystery;84;75557
Shadow and Bone;(2021– );60 min;Action, Adventure, Drama;76;82657
Sex/Life;(2021– );45 min;Comedy, Drama, Romance;54;21107
Gladiator;(2000);155 min;Action, Adventure, Drama;85;1481531
The Punisher;(2017–2019);53 min;Action, Crime, Drama;85;231599
Midnight Mass;(2021);450 min;Drama, Fantasy, Horror;77;110997
Roswell, New Mexico;(2019–2022);45 min;Drama, Romance, Sci-Fi;62;12827
Taxi Driver;(1976);114 min;Crime, Drama;82;819599
Teen Wolf;(2011–2017);41 min;Action, Drama, Fantasy;77;146991
Vikings: Valhalla;(2022– );51 min;Action, Adventure, Drama;72;37571
New Amsterdam;(2018– );43 min;Drama;80;37212
Léon: The Professional;(1994);110 min;Action, Crime, Drama;85;1147345
Arrow;(2012–2020);42 min;Action, Adventure, Crime;75;429943
The Good Nurse;(2022);121 min;Biography, Crime, Drama;78;116
The Good Place;(2016–2020);22 min;Comedy, Drama, Fantasy;82;156760
Agents of S.H.I.E.L.D.;(2013–2020);45 min;Action, Adventure, Drama;75;216461
Mother!;(2017);121 min;Drama, Horror, Mystery;66;224398
Hustle;(2022);117 min;Comedy, Drama, Sport;73;110391
Terim;(2022– );;Documentary, Biography, Sport;70;4279
365 Days: This Day;(2022);111 min;Drama, Romance;26;19357
Cheers;(1982–1993);22 min;Comedy, Drama;79;54765
Line of Duty;(2012–2021);60 min;Crime, Drama, Mystery;87;58387
Pieces of Her;(2022– );52 min;Crime, Drama, Mystery;63;25208
The Departed;(2006);151 min;Crime, Drama, Thriller;85;1310171
Star Wars: The Clone Wars;(2008–2020);23 min;Animation, Action, Adventure;84;94334
Star Trek: Deep Space Nine;(1993–1999);45 min;Action, Adventure, Drama;81;62898
Spider-Man;(2002);121 min;Action, Adventure, Sci-Fi;74;809904
Santo;(2022– );45 min;Action, Crime, Drama;50;417
Delhi Crime;(2019– );50 min;Crime, Drama;85;22337
JoJo's Bizarre Adventure;(2012– );30 min;Animation, Action, Adventure;84;22677
House of Cards;(2013–2018);51 min;Drama;87;500982
American Crime Story;(2016– );42 min;Biography, Crime, Drama;84;95054
Beauty and the Beast;(I) (2017);129 min;Adventure, Family, Fantasy;71;306985
Dynasty;(2017–2022);42 min;Drama;72;22045
Glee;(2009–2015);44 min;Comedy, Drama, Music;68;147910
Brooklyn;(2015);117 min;Drama, Romance;75;142184
The Americans;(2013–2018);44 min;Crime, Drama, Mystery;84;98875
Gotham;(2014–2019);42 min;Action, Crime, Drama;78;229301
Gossip Girl;(2007–2012);42 min;Drama, Romance;75;173318
Gone Girl;(2014);149 min;Drama, Mystery, Thriller;81;971322
The Tudors;(2007–2010);60 min;Drama, History, Romance;81;74863
Twin Peaks;(1990–1991);47 min;Crime, Drama, Mystery;88;196192
The Poison Rose;(2019);98 min;Crime, Mystery, Thriller;47;9475
Avatar: The Last Airbender;(2005–2008);23 min;Animation, Action, Adventure;93;309241
Hannibal;(2013–2015);44 min;Crime, Drama, Horror;85;253302
Star Trek: Voyager;(1995–2001);44 min;Action, Adventure, Sci-Fi;78;69047
NCIS: Los Angeles;(2009– );43 min;Action, Crime, Drama;67;53571
Persuasion;(I) (2022);108 min;Drama, Romance;57;25625
Good Girls;(2018–2021);43 min;Comedy, Crime, Drama;77;51835
Dated and Related;(2022– );;Reality-TV;43;379
Jogi;(2022);116 min;Drama, History, Thriller;75;4105
How to Get Away with Murder;(2014–2020);43 min;Crime, Drama, Mystery;81;150319
Uncoupled;(2022– );30 min;Comedy, Drama, Romance;70;13745
Longmire;(2012–2017);60 min;Action, Crime, Drama;83;35601
The Anthrax Attacks;(2022);94 min;Documentary, Crime;62;865
White Collar;(2009–2014);40 min;Comedy, Crime, Drama;83;131006
White Noise;(I) (2022);136 min;Comedy, Drama, Horror;59;235
After Life;(2019–2022);30 min;Comedy, Drama;84;133432
Outer Banks;(2020– );50 min;Action, Crime, Drama;76;48115
Luckiest Girl Alive;(2022);115 min;Drama, Mystery, Thriller;;
Derry Girls;(2018–2022);30 min;Comedy;85;36522
El Camino: A Breaking Bad Movie;(2019);122 min;Action, Crime, Drama;73;243473
Anatomy of a Scandal;(2022);268 min;Drama, Thriller;70;27590
A Knight's Tale;(2001);132 min;Action, Adventure, Romance;69;186888
The Munsters;(2022);109 min;Comedy, Family, Fantasy;;
Baywatch;(2017);116 min;Action, Comedy, Crime;55;185920
Broad Peak;(2022);101 min;Adventure, Biography, Drama;59;671
Grimm;(2011–2017);45 min;Crime, Drama, Fantasy;78;119368
The Sea Beast;(2022);115 min;Animation, Adventure, Comedy;71;36407
Operation Mincemeat;(2021);128 min;Drama, War;66;22162
Alchemy of Souls;(2022– );80 min;Action, Drama, Fantasy;87;3769
Chip 'n Dale: Rescue Rangers;(2022);97 min;Animation, Adventure, Comedy;70;37904
Wedding Season;(2022);98 min;Comedy, Romance;63;6947
Black Sails;(2014–2017);56 min;Action, Adventure, Drama;82;104342
Knock Knock;(I) (2015);99 min;Drama, Thriller;49;94594
Elementary;(2012–2019);60 min;Crime, Drama, Mystery;79;110920
13 Reasons Why;(2017–2020);60 min;Drama, Mystery, Thriller;75;289319
Maid;(2021);545 min;Drama;84;81102
The King;(I) (2019);140 min;Biography, Drama, History;73;127673
The Adam Project;(2022);106 min;Action, Adventure, Comedy;67;193255
Top Boy;(2011– );60 min;Crime, Drama, Thriller;84;25235
Emily in Paris;(2020– );30 min;Comedy, Drama, Romance;69;88868
Grease;(1978);110 min;Comedy, Musical, Romance;72;275313
Sicario;(2015);121 min;Action, Crime, Drama;76;425967
The Devil All the Time;(2020);138 min;Crime, Drama, Thriller;71;133166
Little Women;(2022– );;Action, Drama, Mystery;86;469
The Fall;(I) (2013–2016);60 min;Crime, Drama, Thriller;81;104577
Elite;(2018– );60 min;Crime, Drama, Thriller;74;77113
Legally Blonde;(2001);96 min;Comedy, Romance;64;216974
2001: A Space Odyssey;(1968);149 min;Adventure, Sci-Fi;83;662697
The Little Things;(2021);128 min;Crime, Drama, Mystery;63;99050
The Guilty;(2021);90 min;Crime, Drama, Thriller;63;121907
Naruto;(2002–2007);24 min;Animation, Action, Adventure;84;99442
Broadchurch;(2013–2017);48 min;Crime, Drama, Mystery;84;112247
Scorpion;(2014–2018);43 min;Action, Crime, Drama;70;53803
Spirited Away;(2001);125 min;Animation, Adventure, Family;86;751180
Adventure Time;(2010–2018);11 min;Animation, Action, Adventure;86;93949
Dead to Me;(2019–2022);30 min;Comedy, Crime, Drama;80;76565
The Nice Guys;(2016);116 min;Action, Comedy, Crime;73;324865
Designated Survivor;(2016–2019);60 min;Action, Drama, Mystery;75;90424
Dracula;(2020);270 min;Action, Drama, Fantasy;68;47794
Narcos: Mexico;(2018–2021);50 min;Crime, Drama;84;83199
300;(2006);117 min;Action, Drama;76;815351
That's Amor;(2022);96 min;Comedy, Romance;52;2055
Resident Evil;(2022);60 min;Action, Horror, Sci-Fi;40;39033
Ginny & Georgia;(2021– );;Comedy, Drama;74;48057
Grace and Frankie;(2015–2022);30 min;Comedy;82;51896
The Man from Toronto;(2022);110 min;Action, Adventure, Comedy;58;43867
Snowpiercer;(2020–2023);60 min;Action, Drama, Sci-Fi;69;54342
The Killing;(2011–2014);45 min;Crime, Drama, Mystery;83;111425
The Power of the Dog;(2021);126 min;Drama, Romance, Western;68;169764
Baby Driver;(2017);113 min;Action, Crime, Drama;76;528768
The Haunting of Bly Manor;(2020);494 min;Drama, Horror, Mystery;73;101853
My Hero Academia;(2016– );24 min;Animation, Action, Adventure;84;60041
Arrival;(II) (2016);116 min;Drama, Mystery, Sci-Fi;79;684855
Dead Poets Society;(1989);128 min;Comedy, Drama;81;484465
The House;(III) (2022);97 min;Animation, Comedy, Drama;68;15290
Skins;(2007–2013);46 min;Drama;82;83918
Bardo;(2022);174 min;Comedy, Drama;67;218
Wendell & Wild;(2022);105 min;Animation, Adventure, Comedy;75;94
The Woman in the House;(2022);208 min;Comedy, Crime, Drama;64;44195
Kill Bill: Vol. 1;(2003);111 min;Action, Crime, Drama;82;1103348
Behind Her Eyes;(2021);298 min;Drama, Mystery, Thriller;72;60901
Bleach;(2004–2012);24 min;Animation, Action, Adventure;82;53769
Uncut Gems;(2019);135 min;Crime, Drama, Thriller;74;277507
Annihilation;(I) (2018);115 min;Adventure, Drama, Horror;68;323342
The Mummy;(2017);110 min;Action, Adventure, Fantasy;54;189542
Orphan Black;(2013–2017);44 min;Drama, Sci-Fi, Thriller;83;110756
Altered Carbon;(2018–2020);60 min;Action, Drama, Sci-Fi;79;167469
Supergirl;(2015–2021);43 min;Action, Adventure, Drama;62;123705
Zero Dark Thirty;(2012);157 min;Drama, History, Thriller;74;299829
The Irishman;(2019);209 min;Biography, Crime, Drama;78;382523
Jurassic World: Fallen Kingdom;(2018);128 min;Action, Adventure, Sci-Fi;61;314340
Big Mouth;(2017– );30 min;Animation, Comedy, Romance;79;77339
Chilling Adventures of Sabrina;(2018–2020);60 min;Drama, Fantasy, Horror;74;93761
Death Note;(2006–2007);24 min;Animation, Crime, Drama;90;316300
Booksmart;(2019);102 min;Comedy;71;117900
Heartbreak High;(1994–1999);50 min;Drama, Romance;78;3208
Untitled Super Mario Project;(2023);;Animation, Adventure, Comedy;;
The End of the F***ing World;(2017–2019);25 min;Adventure, Comedy, Crime;81;186272
The Revenant;(2015);156 min;Action, Adventure, Drama;80;794404
Red Notice;(2021);118 min;Action, Comedy, Thriller;63;270232
Jessica Jones;(2015–2019);56 min;Action, Crime, Drama;79;213221
Frozen;(I) (2013);102 min;Animation, Adventure, Comedy;74;620220
Anne with an E;(2017–2019);60 min;Drama, Family;87;54248
Jane the Virgin;(2014–2019);60 min;Comedy;79;50019
Incantation;(2022);110 min;Horror, Mystery;62;11424
Queen of the South;(2016–2021);42 min;Action, Crime, Drama;80;30158
Godless;(2017);452 min;Action, Drama, Western;83;66821
Fullmetal Alchemist: Brotherhood;(2009–2010);24 min;Animation, Action, Adventure;91;164032
Ray Donovan;(2013–2020);60 min;Crime, Drama;83;86921
Wind River;(2017);107 min;Crime, Drama, Mystery;77;249800
Jumanji: The Next Level;(2019);123 min;Action, Adventure, Comedy;67;246668
Fakes;(2022– );30 min;Comedy;63;594
The IT Crowd;(2006–2013);25 min;Comedy;85;151277
DC's Legends of Tomorrow;(2016–2022);42 min;Action, Adventure, Drama;68;104446
Heartstopper;(2022– );30 min;Drama, Romance;87;49420
Zodiac;(2007);157 min;Crime, Drama, Mystery;77;536068
Iron Fist;(2017–2018);55 min;Action, Adventure, Crime;64;130223
Merlí. Sapere Aude;(2019–2021);50 min;Comedy, Drama;77;2298
The Affair;(2014–2019);60 min;Drama;79;45649
Unbelievable;(2019);385 min;Crime, Drama;84;100699
Enola Holmes;(2020);123 min;Action, Adventure, Crime;66;169720
Pirates of the Caribbean: Dead Men Tell No Tales;(2017);129 min;Action, Adventure, Fantasy;65;309009
Bates Motel;(2013–2017);45 min;Drama, Horror, Mystery;81;107362
Jujutsu Kaisen;(2020– );24 min;Animation, Action, Adventure;86;56920
Star Trek: Enterprise;(2001–2005);60 min;Action, Adventure, Drama;75;53374
Run;(I) (2020);90 min;Mystery, Thriller;67;77264
The Green Knight;(2021);130 min;Adventure, Drama, Fantasy;66;98337
All of Us Are Dead;(2022– );60 min;Action, Drama, Fantasy;75;47580
Jumanji: Welcome to the Jungle;(2017);119 min;Action, Adventure, Comedy;69;375650
El Rey, Vicente Fernández;(2022– );52 min;Biography, Drama, Music;64;127
Bodyguard;(2018);60 min;Crime, Drama, Thriller;81;121426
Luther;(2010–2019);60 min;Crime, Drama, Mystery;84;136105
That '90s Show;;30 min;Comedy, Drama, Romance;;
Fauda;(2015– );60 min;Action, Drama, Thriller;82;26699
Hubie Halloween;(2020);103 min;Comedy, Mystery;52;49569
The Watcher;(2022– );;Drama, Horror, Mystery;;
Borgen;(2010–2022);58 min;Drama;85;26360
Marcella;(2016– );45 min;Crime, Drama, Mystery;74;31515
Reign;(2013–2017);42 min;Drama;74;49625
Love Between Fairy and Devil;(2022– );40 min;Comedy, Fantasy, Romance;86;365
Amar;(2017);105 min;Drama, Romance;51;4570
Freaks and Geeks;(1999–2000);44 min;Comedy, Drama;88;142164
High Heat;(2022– );45 min;Drama;59;432
Workin' Moms;(2017–2023);30 min;Comedy, Drama;78;17710
Poldark;(2015–2019);60 min;Drama, Romance;83;31763
Penny Dreadful;(2014–2016);60 min;Drama, Fantasy, Horror;82;121814
Medici;(2016–2019);60 min;Biography, Drama, History;79;19261
Your Name.;(2016);106 min;Animation, Drama, Fantasy;84;262352
Venom;(2018);112 min;Action, Adventure, Sci-Fi;66;478585
Californication;(2007–2014);28 min;Comedy, Drama;83;180641
The Platform;(2019);94 min;Horror, Sci-Fi, Thriller;70;219327
Interceptor;(2022);99 min;Action, Adventure, Drama;45;22251
Shadowhunters;(2016–2019);42 min;Action, Drama, Fantasy;65;63040
Tropic Thunder;(2008);107 min;Action, Comedy, War;70;413784
Howl's Moving Castle;(2004);119 min;Animation, Adventure, Family;82;390278
Beverly Hills Cop: Axel Foley;;;Action, Comedy, Crime;;
iZombie;(2015–2019);42 min;Comedy, Crime, Drama;78;67849
SPY×FAMILY;(2022– );24 min;Animation, Action, Comedy;86;19612
Fighting with My Family;(2019);108 min;Biography, Comedy, Drama;71;81142
Captain America: Civil War;(2016);147 min;Action, Adventure, Sci-Fi;78;776556
The Ranch;(2016–2020);30 min;Comedy, Drama, Western;75;38824
Will & Grace;(1998–2020);22 min;Comedy, Romance;73;55858
I'm Thinking of Ending Things;(2020);134 min;Drama, Thriller;66;85315
The Wonder;(2022);103 min;Drama, Mystery, Thriller;76;87
The Midnight Club;(2022– );;Drama, Horror, Mystery;;
Black Clover;(2017–2021);24 min;Animation, Action, Adventure;83;22411
Russian Doll;(2019– );30 min;Comedy, Drama, Mystery;78;94732
Snowpiercer;(2013);126 min;Action, Sci-Fi, Thriller;71;359095
Below Deck Mediterranean;(2016– );43 min;Reality-TV;75;2757
Lost in Space;(2018–2021);60 min;Adventure, Drama, Family;73;99084
The Forgotten Battle;(2020);124 min;Drama, War;71;28608
HollyBlood;(2022);87 min;Comedy, Fantasy, Horror;43;564
A Cinderella Story;(2004);95 min;Comedy, Family, Romance;59;87840
6 Underground;(2019);128 min;Action, Thriller;61;174852
Happy Valley;(2014–2022);58 min;Crime, Drama, Thriller;85;39851
The Stranger;(I) (2020);363 min;Crime, Drama, Mystery;73;50086
Public Enemies;(2009);140 min;Action, Biography, Crime;70;302797
Sausage Party;(2016);89 min;Animation, Adventure, Comedy;61;194159
Revenge;(2011–2015);44 min;Drama, Mystery, Thriller;78;119927
The Invitation;(I) (2015);100 min;Drama, Horror, Mystery;66;108509
Paddington 2;(2017);103 min;Adventure, Comedy, Family;78;77861
Shameless;(2004–2013);90 min;Comedy, Crime, Drama;80;16895
The Girl in the Mirror;(2022– );56 min;Drama, Horror, Mystery;62;1472
Terrifier;(2016);82 min;Horror, Thriller;56;19119
The Blues Brothers;(1980);133 min;Action, Adventure, Comedy;79;199019
Merlí;(2015–2018);58 min;Comedy, Drama, Romance;86;8555
Polar;(I) (2019);118 min;Action, Thriller;63;89645
The Unforgivable;(2021);112 min;Crime, Drama;71;107709
Red Rose;(2022– );45 min;Drama, Horror, Thriller;64;761
King Arthur: Legend of the Sword;(2017);126 min;Action, Adventure, Drama;67;216416
The Impossible;(2012);114 min;Adventure, Drama, History;75;223356
Vinland Saga;(2019– );24 min;Animation, Action, Adventure;88;36550
Spider-Man: Far from Home;(2019);129 min;Action, Adventure, Sci-Fi;74;482390
The Ballad of Buster Scruggs;(2018);133 min;Comedy, Drama, Musical;73;146391
Madam Secretary;(2014–2019);45 min;Drama, Thriller;77;23203
Willy Wonka & the Chocolate Factory;(1971);100 min;Family, Fantasy, Musical;78;200703
Full House;(1987–1995);22 min;Comedy, Drama, Family;67;58833
Sweet Magnolias;(2020– );;Drama, Romance;73;18682
True Story;(III) (2021);260 min;Crime, Drama, Thriller;74;18325
La jefa;(2022);109 min;Drama;47;1028
The Vault;(2021);118 min;Action, Adventure, Thriller;64;25121
Pieces of a Woman;(2020);126 min;Drama;70;49524
Nashville;(2012–2018);43 min;Drama, Music, Romance;77;25744
Footloose;(1984);107 min;Drama, Music, Romance;66;80905
Gerald's Game;(2017);103 min;Drama, Horror, Thriller;65;108970
Charlie's Angels;(2019);118 min;Action, Adventure, Comedy;49;73202
The Curse of Bridge Hollow;(2022);89 min;Adventure, Comedy, Family;;
Sense8;(2015–2018);60 min;Drama, Mystery, Sci-Fi;82;153913
Travelers;(2016–2018);45 min;Drama, Mystery, Sci-Fi;80;56239
The Lost Daughter;(2021);121 min;Drama;67;62800
Miraculous: Tales of Ladybug & Cat Noir;(2015– );20 min;Animation, Action, Adventure;76;11332
Texas Chainsaw Massacre;(2022);81 min;Crime, Horror, Thriller;48;50801
Senior Year;(2022);111 min;Comedy;55;36521
Bastard!! Heavy Metal, Dark Fantasy;(2022– );25 min;Animation, Action, Adventure;66;1364
Castlevania;(2017–2021);23 min;Animation, Action, Adventure;83;64403
Matilda;(I) (2022);117 min;Comedy, Drama, Family;;
Step Brothers;(2008);98 min;Comedy;69;294349
Castle Rock;(2018–2019);60 min;Drama, Fantasy, Horror;75;45696
Rebel Moon;;;Adventure, Drama, Fantasy;;
The Harder They Fall;(2021);139 min;Action, Drama, Western;65;61698
The OA;(2016–2019);60 min;Drama, Fantasy, Mystery;78;104258
Below Her Mouth;(2016);94 min;Drama, Romance;55;12539
Fear Street: Part One - 1994;(2021);107 min;Drama, Horror, Mystery;62;79648
Birdman or (The Unexpected Virtue of Ignorance);(2014);119 min;Comedy, Drama;77;626026
Beauty and the Beast;(1991);84 min;Animation, Family, Fantasy;80;452086
Moonlight;(I) (2016);111 min;Drama;74;305932
